Date,AFK,EWZ,IEUR,INDA,MCHI,SPY
2019-03-13,-0.17477205299414605,-0.05344009423341919,-0.09497426098355785,-0.006898582125638295,-0.15154028613338824,0.010124972840209048
2019-03-14,-0.1715384263258714,-0.055931862523212604,-0.08391467486794928,-0.001439350873399823,-0.14245573681054224,0.016045108491688116
2019-03-15,-0.16916568934299578,-0.04398254053992239,-0.07654072629258517,0.010951039186174481,-0.13801758068539038,0.02183076655326498
2019-03-18,-0.15972219820457564,-0.005821726879120648,-0.07141436482786928,0.03232383824750542,-0.1360628980150638,0.026654496626420453
2019-03-19,-0.15052505133001035,-0.005828337428225373,-0.06746267442086443,0.04333730247806886,-0.13449890611034265,0.02990511059227026
2019-03-20,-0.1444226511504784,-0.004298697695172034,-0.06414866158558757,0.06862454266785326,-0.1240743482741333,0.040888749890561384
2019-03-21,-0.15091401396081322,-0.020947135867501455,-0.0652653070357756,0.05366147043745293,-0.1383475397558887,0.05085808510230906
2019-03-22,-0.17964297591879982,-0.10115605343188336,-0.08763507619510581,0.01611483210805887,-0.15696871409187638,0.03261475266463164
2019-03-25,-0.1681518885079693,-0.06763837920801463,-0.06943029285532225,0.03903901702237097,-0.11060846565558911,0.058292541185765316
2019-03-26,-0.1644582750759483,-0.0510716289852975,-0.059609484787709166,0.05975120816097582,-0.09166787966730425,0.08940131143399865
2019-03-27,-0.17794008403769132,-0.11789804949289283,-0.07565059558375488,0.017038719176204718,-0.12752545363412904,0.0548451938754414
2019-03-28,-0.1742512524997322,-0.06159165543083553,-0.06933118805881541,0.04182734754393918,-0.10333725709641457,0.07716801565835116
2019-03-29,-0.144391378237713,-0.05856681633994086,-0.06976277318194403,0.04723708139618827,-0.07318883997186547,0.08717248040869573
2019-04-01,-0.14637001862456642,-0.06862749014600311,-0.06461350774464933,0.04336359495807242,-0.0761266041116395,0.08618655976371752
2019-04-02,-0.1311605428089848,-0.05433547228147752,-0.04916360311927372,0.05884097269141445,-0.05664331972486291,0.11069250734018453
2019-04-03,-0.13441078604488457,-0.06003197867322203,-0.04563894593954873,0.043882543685822374,-0.059224162655887765,0.09836263947044036
2019-04-04,-0.13638158759815946,-0.03859334108410575,-0.050939971610695155,0.03496505750611719,-0.05114558767820669,0.08961904437693123
2019-04-05,-0.13309774169766014,-0.04060800456379008,-0.05631265104939337,0.03263058673302749,-0.042901423906155416,0.08631979901871356
2019-04-08,-0.1156760930926133,-0.017733686677516267,-0.05171025463526007,0.031551324729703116,-0.02039272713526825,0.11192825807634212
2019-04-09,-0.11314741471815049,0.002382141255569726,-0.0648443748855001,0.02894356069702415,-0.03354704055818912,0.10080458834710249
2019-04-10,-0.1278342637809481,-0.013311529633035385,-0.07232955976034319,0.01837494562167405,-0.05964103412530452,0.08727141309108027
2019-04-11,-0.12989044460849766,-0.04469013207851088,-0.0673400953228519,0.018406654622448653,-0.07114915968871717,0.09269783433500468
2019-04-12,-0.1235733730225989,-0.06796113594034893,-0.0661677962017093,0.013741756027560177,-0.058900141602007274,0.09111424680806528
2019-04-15,-0.1204866463884862,-0.04265852840614343,-0.06506777330634224,0.024502805490569098,-0.05646471661012389,0.093607421819925
2019-04-16,-0.12294444731550772,-0.026026746055117636,-0.06690209467813446,0.02408948030737687,-0.04090103732851812,0.08540013554997226
