Date,FXE,UUP
2019-03-13,-0.08872597533046728,0.0952380836531305
2019-03-14,-0.09445050744985295,0.10144932485059102
2019-03-15,-0.09202451588224021,0.09927567072318909
2019-03-18,-0.08544625284337128,0.09380310025116932
2019-03-19,-0.08301597453330405,0.08975439697543937
2019-03-20,-0.08065739209229503,0.08801018939355235
2019-03-21,-0.07921550286766259,0.08833474919977614
2019-03-22,-0.09231033777467795,0.09927567072318909
2019-03-25,-0.08881381945212895,0.09787230796002327
2019-03-26,-0.09595495173418422,0.10503838925955863
2019-03-27,-0.10374204846564541,0.11154013046068567
2019-03-28,-0.10208017148411112,0.11016225086683783
2019-03-29,-0.09542727705607383,0.10156587435955904
2019-04-01,-0.09642528087170973,0.10165182365467701
2019-04-02,-0.09701684424313738,0.10338985146684401
2019-04-03,-0.0909013922917173,0.09983082365835286
2019-04-04,-0.09324188656418932,0.10156587435955904
2019-04-05,-0.09052274872717513,0.09865093677597442
2019-04-08,-0.09034714908386217,0.0990266709984926
2019-04-09,-0.09311945178113035,0.1022486159786131
2019-04-10,-0.09473684210526316,0.10336028419899998
2019-04-11,-0.09658424447234772,0.10770543683683806
2019-04-12,-0.09104717509939747,0.10280365653465395
2019-04-15,-0.09115437973194247,0.10237891901790185
2019-04-16,-0.09551034451969069,0.1086957051970618
2019-04-17,-0.09426504588864035,0.10784317073226256
2019-04-18,-0.09973091820521635,0.11144189308284733
2019-04-22,-0.09571152057191724,0.10559795501164752
2019-04-23,-0.09360442834476719,0.10286680458223636
2019-04-24,-0.09382985214292755,0.10138248811103373
2019-04-25,-0.09714187143678193,0.1048657711408873
2019-04-26,-0.09172510727490596,0.09899744690954157
2019-04-29,-0.08380608824915817,0.09147612610104776
2019-04-30,-0.08296155088785313,0.08905531953803589
2019-05-01,-0.08057564977897176,0.08578539884653226
2019-05-02,-0.07625569135176632,0.08110330338008236
2019-05-03,-0.06980394018501498,0.07213115804908561
2019-05-06,-0.07311571318671505,0.07736630152843778
2019-05-07,-0.07215598363276056,0.07685987854900707
2019-05-08,-0.06895944539841477,0.07506152529533199
2019-05-09,-0.06202842153534766,0.06906418395914299
2019-05-10,-0.05999643729246022,0.06865551092430647
2019-05-13,-0.0658986041011475,0.07348107402830142
2019-05-14,-0.06938034063420197,0.07771379166796072
2019-05-15,-0.06881219925907177,0.0767966695108485
2019-05-16,-0.06348369829941586,0.07306126185825892
2019-05-17,-0.06192117934541183,0.07288277501836095
2019-05-20,-0.06098855671656726,0.07076046198946623
2019-05-21,-0.05918784847966948,0.07021109953077984
2019-05-22,-0.06121908561838873,0.07189270877661563
2019-05-23,-0.05885995203089894,0.07029660704309973
2019-05-24,-0.05008455385995361,0.062322985535643104
2019-05-28,-0.05533845492632667,0.06807132432747413
2019-05-29,-0.05304040472647779,0.06532261649478224
2019-05-30,-0.04252053107530248,0.058470205525414216
2019-05-31,-0.049388217549419695,0.062146850908226595
2019-06-03,-0.045616493359184274,0.05735056797929895
2019-06-04,-0.0418267971284729,0.0544355009274483
2019-06-05,-0.04790743309537504,0.058918444068465345
2019-06-06,-0.04526050488465103,0.05656564115273832
2019-06-07,-0.04512873531294323,0.05510537250951124
2019-06-10,-0.04829596607391674,0.05846530991163857
2019-06-11,-0.045148712070254726,0.0584415815636172
2019-06-12,-0.04977019754344563,0.06042172669658507
2019-06-13,-0.048399957473952794,0.05908543285777493
2019-06-14,-0.057258954072486865,0.06647747809390386
2019-06-17,-0.03975182751407036,0.053221285949877566
2019-06-18,-0.0440477582160235,0.05566685363317843
2019-06-19,-0.04125559169615331,0.05086105297105268
2019-06-20,-0.03284147512978002,0.04153350519782952
2019-06-21,-0.026000893836925075,0.03551481707757498
2019-06-24,-0.026651123076425937,0.03681472928051893
2019-06-25,-0.03288650808753309,0.04297187595247745
2019-06-26,-0.03642675794760315,0.04545451058018383
2019-06-27,-0.03159118352231004,0.04001600676906511
2019-06-28,-0.02353896712665284,0.03301511312079875
2019-07-01,-0.031720322913759036,0.04057281155637831
2019-07-02,-0.041495573780045765,0.04811543022832431
2019-07-03,-0.03669152168741097,0.043096566110219635
2019-07-05,-0.04436499622965978,0.05204168007333748
2019-07-08,-0.04902834716560649,0.05742973201138496
2019-07-09,-0.05333690202301507,0.06164386403939252
2019-07-10,-0.04969824688457927,0.05678613982056174
2019-07-11,-0.04942762955143575,0.0563606928313331
2019-07-12,-0.04188998284885383,0.04718113931934728
2019-07-15,-0.043396738128913266,0.04794242200045432
2019-07-16,-0.047925056674041636,0.054000015258789065
2019-07-17,-0.04896723660028147,0.053685905518381614
2019-07-18,-0.04094039258611371,0.04347826748529736
2019-07-19,-0.04415189095008712,0.04741037912239015
2019-07-22,-0.044354811970629564,0.047316125332297676
2019-07-23,-0.0570818716036747,0.0605209729602952
2019-07-24,-0.05528314305199587,0.05882350247371442
2019-07-25,-0.053890085803458686,0.06040000915527344
2019-07-26,-0.059466688368055555,0.06712219182576891
2019-07-29,-0.05059551910559746,0.06067866283663943
2019-07-30,-0.05080501028739887,0.0619504080216587
2019-07-31,-0.06184834237617056,0.07220213457786619
2019-08-01,-0.058608383445615655,0.06685348706553415
2019-08-02,-0.055173013215778485,0.06317472647926858
2019-08-05,-0.04202284067636544,0.05208745470426123
2019-08-06,-0.040198280370870414,0.05244337269857397
2019-08-07,-0.0382740378271418,0.049980177494647164
2019-08-08,-0.043083296477598176,0.05202539515748579
2019-08-09,-0.04329081959188014,0.05208745470426123
2019-08-12,-0.03546225924080554,0.045059341161052154
2019-08-13,-0.027813365330719934,0.042386183010553746
