Date,FAN,KOL,TAN,UNG,USO
2019-03-01,-0.010662630777038282,-0.20011600087401707,0.0321383916186686,0.12668462110639758,-0.057396931666574794
2019-03-04,-0.0038461685180664062,-0.19266591157274326,0.02588328499659514,0.11982176103751606,-0.044534427023994134
2019-03-05,0.0030817347409899816,-0.18256769796043992,0.017276844324178347,0.12621790926038037,-0.044462424884655134
2019-03-06,-0.0053680747721621585,-0.18963482922040212,-0.02555777568016711,0.11407011169545002,-0.06671963005617816
2019-03-07,-0.013761491301658999,-0.2080185450597562,-0.059059837260014306,0.10108930796074934,-0.060461359877395565
2019-03-08,-0.02210365582184375,-0.20308788867608032,-0.0630302814522175,0.08656331991042854,-0.050202495553252326
2019-03-11,-0.013667449060974763,-0.1797345932417967,-0.034967803907994956,0.06806280369762666,-0.023868310366918943
2019-03-12,-0.009781799459297517,-0.1791767527921528,-0.046732685353496284,0.08355319426798953,-0.04651162079279166
2019-03-13,-0.014189733322327026,-0.1732045828857529,-0.048799676448815575,0.07195175106280659,-0.014551358677530485
2019-03-14,-0.0022624951830817314,-0.16431633594456505,-0.04287415247355248,0.0791738455554796,-0.0016339464430830172
2019-03-15,-0.01638125554948966,-0.1677851829611734,-0.049841779851985825,0.07975458892039386,-0.006514651909255246
2019-03-18,-0.00822734911135314,-0.14904142461602665,-0.025834643182524927,0.11874999521034096,-0.0024310966450758103
2019-03-19,-0.014232249335464039,-0.15061730982381044,-0.022204578952777842,0.11921709785360488,-0.021513980371331138
2019-03-20,-0.004507920189714547,-0.12752528019601378,-0.019398248878790866,0.12833259196967411,-0.003984078882466976
2019-03-21,-0.020134191436360124,-0.12923459975981047,-0.05620610799717307,0.1152983216359557,-0.028883749189172126
2019-03-22,-0.04302670203279791,-0.1590346360823625,-0.09910954214107011,0.10652767172990213,-0.07207896365270858
2019-03-25,-0.01977180857413429,-0.138481178412806,-0.07073948476286741,0.11471665105831265,-0.054054040121631404
2019-03-26,-0.01147663519760249,-0.12046630228153615,-0.06371752166048326,0.11531365151333332,-0.06099393691487358
2019-03-27,-0.025449042488833052,-0.15370020497663558,-0.10362289986389986,0.08806166891701475,-0.0658591887242054
2019-03-28,-0.017358456017836085,-0.13049092789556602,-0.075139929405232,0.06932017865612108,-0.055810362881828814
2019-03-29,-0.01954888910926175,-0.12028610973368489,-0.04573550018193292,0.05291481370164037,-0.04141104014054702
2019-04-01,-0.020194428302200775,-0.12348819705108847,-0.03908791145553148,0.0545455206740528,-0.02062646712118585
2019-04-02,-0.0022778840392864578,-0.11768488110993215,-0.025451593747905517,0.07395640168137448,0.021193128933625915
2019-04-03,-0.005255232464563695,-0.12308675176101311,-0.013928724076740895,0.05713002626701406,0.014051471163562286
2019-04-04,-0.011210805001615472,-0.12905275219623988,-0.00041085574441841933,0.04120018268863725,0.0078003419539939165
2019-04-05,-0.015590202968369661,-0.1359899124061323,-0.006808173046405556,0.06382977988557981,0.0249415196201953
2019-04-08,-0.01485882679779476,-0.11506145157858988,0.02420017116068427,0.07239211451982026,0.07114303544085443
2019-04-09,-0.032918786156081396,-0.13115804067338557,-0.004469752443049253,0.07101123252611481,0.04385273655976454
2019-04-10,-0.031409741759058946,-0.15460729673496595,-0.007581749032644661,0.08204189577235403,0.01207546018204599
2019-04-11,-0.037307990200106965,-0.1632653265842052,-0.0216259120155405,0.06857403258361194,-0.013382851602530945
2019-04-12,-0.03519065130710361,-0.1433915843597421,-0.012835928235339123,0.05227579177529629,-0.016272208548815285
2019-04-15,-0.03848951844781442,-0.1493465876855778,0.0012150173611982877,0.010190498243075826,-0.022878259428266975
2019-04-16,-0.03854543512517756,-0.13684872965554698,0.016306547384160455,-0.0013221985870153189,-0.0007474012553290473
2019-04-17,-0.040668148220791456,-0.14330026670932564,0.014925329496580006,-0.022566381428028522,-0.009694266660711832
2019-04-18,-0.04208998076526067,-0.15061730982381044,-0.009865824723543592,-0.02963290836830842,-0.04034585122474661
2019-04-22,-0.041364274736550924,-0.14935465499733533,0.001186191309248099,0.0027161369636909552,-0.00726219158644583
2019-04-23,-0.03854543512517756,-0.13543602496751198,0.012253019076653254,-0.04033687362386188,0.002909088134765625
2019-04-24,-0.03016923052307948,-0.1460395840941286,0.01750201053062835,-0.043324554077168356,-0.01724136277318624
2019-04-25,-0.03311256837472846,-0.15460729673496595,0.024919648719726684,-0.041466642045690116,-0.010964953863914582
2019-04-26,-0.03021369614094309,-0.13810425114836036,0.0356708211611323,-0.02398609407279567,-0.045918374794416114
2019-04-29,-0.04347828791136966,-0.12952380710177952,0.019284912067317684,-0.025162687327707663,-0.039215751457937355
2019-04-30,-0.04366503927643086,-0.12917738911804924,-0.0007965136311237968,-0.01194692270824259,-0.03204658376205846
2019-05-01,-0.049356194776593254,-0.12573291577931467,0.03046303714193346,0.002659635403874742,-0.04202897939780167
2019-05-02,-0.06456238490830189,-0.11957954116736877,0.04517455294607812,-0.01927291000998789,-0.05804555340054273
2019-05-03,-0.0550786501646896,-0.11917093581086069,0.07023272067903169,-0.012900312014413039,-0.05852232525749555
2019-05-06,-0.06980053738596918,-0.13264645855523557,0.04928126639800859,-0.017929163070617638,-0.05426917630692028
2019-05-07,-0.07965866328643621,-0.15379705396798501,0.07835049973320715,-0.006771991923863808,-0.09652239855382636
2019-05-08,-0.0782361556643335,-0.161971815077298,0.04545458064028705,0.011659203487762433,-0.08581560322063247
2019-05-09,-0.07075815660061732,-0.1520467901485879,0.00894306137979614,0.004030459153398579,-0.08890469151451684
2019-05-10,-0.064935039020487,-0.15581095811993398,0.0155999755859375,0.018385644010728366,-0.10647179854947264
2019-05-13,-0.09550963493169741,-0.20461637842461577,-0.06577435328663161,-0.007430073537128985,-0.12005548650626936
2019-05-14,-0.08166191548765037,-0.20640785719540536,-0.0455598580137254,0.00043565669720363584,-0.0968421132940995
2019-05-15,-0.080714293888637,-0.21165638141544935,-0.043972702210593996,-0.024643308063368178,-0.09805283979074078
2019-05-16,-0.07791280703507626,-0.20864203141567883,-0.016736421404905506,-0.011673089503306772,-0.087499951985146
2019-05-17,-0.07686779374710284,-0.2391566370962525,-0.05818722480483825,-0.008714629903734996,-0.09543569230984338
2019-05-20,-0.09162495792262022,-0.24746573994774979,-0.06509539098078823,-0.009028417444318499,-0.09247758272976739
